variant,prediction_step,csi_nmse_db,beam_top3_pct
A,1,-8.000146365084477,97.16231555051078
A,2,-7.825880066667935,94.8921679909194
A,3,-6.567219163184674,90.91940976163451
A,4,-6.087041024032141,87.40068104426788
A,5,-5.296972536734269,85.1305334846765
A,6,-4.872760466110457,81.04426787741204
A,7,-4.010197172769531,79.11464245175937
A,8,-3.625668563128456,75.48240635641316
B,1,-9.612589510922872,96.59477866061293
B,2,-9.532379213721198,94.21112372304201
B,3,-8.773644714890336,89.21679909194098
B,4,-8.209929982267848,86.49262202043133
B,5,-7.288840752755485,83.65493757094211
B,6,-6.7595388042285665,79.68217934165722
B,7,-5.891888076690625,77.63904653802497
B,8,-5.4413586226035875,74.57434733257662
C,1,-8.969041167072643,97.27582292849036
C,2,-8.959458837839064,95.00567536889898
C,3,-8.393881980938936,90.12485811577753
C,4,-7.970784633127672,88.19523269012485
C,5,-7.159942541698172,85.47105561861521
C,6,-6.841624201698507,82.06583427922814
C,7,-6.109858831688136,80.02270147559591
C,8,-5.752988011871524,77.5255391600454
D,1,-10.109421120310145,96.7082860385925
D,2,-10.099141544811532,94.43813847900114
D,3,-9.787932033998878,90.46538024971623
D,4,-9.236289419905736,87.40068104426788
D,5,-8.501771617445758,85.58456299659478
D,6,-8.040241553516768,82.633371169126
D,7,-7.430667511098639,80.36322360953461
D,8,-7.009862809627329,77.07150964812712
E,1,-8.72882374431043,96.7082860385925
E,2,-8.681491417555458,94.8921679909194
E,3,-8.14964678319736,90.5788876276958
E,4,-7.683414138885012,88.08172531214528
E,5,-6.9213379997713425,85.01702610669693
E,6,-6.510466912041098,81.95232690124858
E,7,-5.946889428211028,79.22814982973894
E,8,-5.556580302460448,75.59591373439274
F,1,-9.594914609989152,97.38933030646993
F,2,-9.475325960473905,95.23269012485811
F,3,-8.74696082226467,91.2599318955732
F,4,-8.031638892714486,89.10329171396141
F,5,-5.651354924091457,86.37911464245175
F,6,-5.17673959458817,84.10896708286039
F,7,-4.6403586086520185,83.20090805902383
F,8,-4.254365113282971,80.93076049943247
G,1,-3.336653381887569,95.23269012485811
G,2,-3.3820811771172288,94.09761634506243
G,3,-3.4302358877523176,94.5516458569807
G,4,-3.48886438495252,93.87060158910329
G,5,-3.505473300927892,94.5516458569807
G,6,-3.543666443914537,94.32463110102157
G,7,-3.5369552924447136,93.75709421112373
G,8,-3.540539152344363,93.53007945516458
